nb_inscr_eur;nb_abs_eur;nb_inscr_leg;nb_abs_leg;nb_part_eur;nb_part_leg;écart_part;rapport_part
1099;456;1080;299;643;781;138;1.2146189735614308
1232;537;1211;307;695;904;209;1.3007194244604317
1225;468;1211;337;757;874;117;1.154557463672391
1310;569;1295;383;741;912;171;1.2307692307692308
1090;444;1077;254;646;823;177;1.2739938080495357
1281;490;1267;346;791;921;130;1.1643489254108723
1127;397;1109;287;730;822;92;1.126027397260274
1000;439;973;285;561;688;127;1.2263814616755793
962;379;934;262;583;672;89;1.1526586620926245
922;391;895;235;531;660;129;1.2429378531073447
1095;460;1084;294;635;790;155;1.2440944881889764
1062;383;1049;227;679;822;143;1.21060382916053
895;365;883;257;530;626;96;1.181132075471698
1593;696;1553;408;897;1145;248;1.2764771460423634
1483;586;1456;359;897;1097;200;1.2229654403567447
1499;563;1471;342;936;1129;193;1.2061965811965811
1558;632;1530;382;926;1148;222;1.2397408207343412
1801;783;1782;503;1018;1279;261;1.256385068762279
1799;771;1792;501;1028;1291;263;1.2558365758754864
1409;518;1394;321;891;1073;182;1.2042648709315376
1454;579;1439;344;875;1095;220;1.2514285714285713
1598;613;1580;356;985;1224;239;1.2426395939086294
1319;502;1287;287;817;1000;183;1.2239902080783354
1442;532;1428;323;910;1105;195;1.2142857142857142
1331;517;1496;332;814;1164;350;1.42997542997543
1505;550;1312;298;955;1014;59;1.0617801047120419
1509;519;1483;306;990;1177;187;1.1888888888888889
1374;469;1355;292;905;1063;158;1.174585635359116
1651;672;1633;456;979;1177;198;1.202247191011236
1727;726;1702;440;1001;1262;261;1.2607392607392607
1610;619;1570;363;991;1207;216;1.2179616548940464
1515;669;1496;421;846;1075;229;1.2706855791962175
1560;651;1535;408;909;1127;218;1.2398239823982398
1692;600;1659;365;1092;1294;202;1.184981684981685
1494;573;1471;353;921;1118;197;1.213897937024973
1288;554;1259;364;734;895;161;1.2193460490463215
1174;411;1160;287;763;873;110;1.144167758846658
1465;569;1433;365;896;1068;172;1.1919642857142858
1359;482;1341;339;877;1002;125;1.1425313568985176
1486;505;1467;321;981;1146;165;1.1681957186544343
1703;624;1673;391;1079;1282;203;1.1881371640407785
1353;507;1323;295;846;1028;182;1.215130023640662
1762;691;1737;459;1071;1278;207;1.1932773109243697
1151;420;1131;274;731;857;126;1.1723666210670314
1007;403;986;245;604;741;137;1.2268211920529801
1084;412;1064;256;672;808;136;1.2023809523809523
1263;426;1240;274;837;966;129;1.1541218637992832
1682;688;1651;428;994;1223;229;1.2303822937625755
1285;498;1262;332;787;930;143;1.181702668360864
1183;925;0;0;258;0;-258;0.0
1535;569;1504;340;966;1164;198;1.204968944099379
1611;559;1590;377;1052;1213;161;1.153041825095057
1729;715;1697;452;1014;1245;231;1.227810650887574
1479;545;1455;344;934;1111;177;1.189507494646681
1313;470;1293;286;843;1007;164;1.1945432977461448
1429;506;1406;322;923;1084;161;1.1744312026002166
1544;528;1531;347;1016;1184;168;1.1653543307086613
1583;506;1568;316;1077;1252;175;1.1624883936861652
1764;528;1733;322;1236;1411;175;1.1415857605177993
1573;527;1543;319;1046;1224;178;1.1701720841300192
1584;529;1551;309;1055;1242;187;1.1772511848341232
1557;508;1526;321;1049;1205;156;1.1487130600571973
1637;635;1628;390;1002;1238;236;1.2355289421157685
1338;485;1318;307;853;1011;158;1.1852286049237983
1644;577;1617;361;1067;1256;189;1.1771321462043112
1549;510;1520;324;1039;1196;157;1.151106833493744
1446;482;1435;340;964;1095;131;1.1358921161825726
1323;474;1297;323;849;974;125;1.1472320376914016
1409;486;1391;310;923;1081;158;1.171180931744312
1538;581;1501;362;957;1139;182;1.1901776384535006
1641;597;1615;386;1044;1229;185;1.1772030651340997
1425;479;1401;327;946;1074;128;1.135306553911205
1483;524;1458;334;959;1124;165;1.1720542231491136
1524;540;1505;294;984;1211;227;1.2306910569105691
1637;588;1617;366;1049;1251;202;1.19256434699714
1296;480;1281;307;816;974;158;1.1936274509803921
1333;483;1308;311;850;997;147;1.1729411764705882
1396;552;1373;359;844;1014;170;1.2014218009478672
1105;421;1029;256;684;773;89;1.1301169590643274
1253;466;1112;217;787;895;108;1.1372299872935197
1235;500;1088;286;735;802;67;1.091156462585034
1045;403;1229;318;642;911;269;1.4190031152647975
1053;423;1219;328;630;891;261;1.4142857142857144
918;362;1043;256;556;787;231;1.4154676258992807
1138;364;908;251;774;657;-117;0.8488372093023255
1326;486;989;245;840;744;-96;0.8857142857142857
1177;375;1171;250;802;921;119;1.1483790523690773
1372;461;1354;286;911;1068;157;1.172338090010977
1285;500;1263;295;785;968;183;1.2331210191082802
1269;444;1260;295;825;965;140;1.1696969696969697
1582;593;1564;398;989;1166;177;1.17896865520728
1541;533;1529;326;1008;1203;195;1.193452380952381
1066;343;1051;212;723;839;116;1.1604426002766253
1053;329;1030;193;724;837;113;1.1560773480662982
1207;390;1191;267;817;924;107;1.130966952264382
1186;397;1179;267;789;912;123;1.155893536121673
1325;424;1330;263;901;1067;166;1.1842397336293007
1007;381;1376;340;626;1036;410;1.6549520766773163
1398;536;1320;342;862;978;116;1.134570765661253
1339;526;1293;211;813;1082;269;1.3308733087330873
1324;540;1359;413;784;946;162;1.2066326530612246
1390;524;1425;395;866;1030;164;1.1893764434180139
1450;527;1385;328;923;1057;134;1.1451787648970748
1415;516;1545;345;899;1200;301;1.3348164627363737
1586;535;1424;318;1051;1106;55;1.0523311132254995
1270;448;1249;273;822;976;154;1.1873479318734794
