id_bv;num_circ;nom_quartier;num_arrond;nb_procu;nb_inscr;nb_abscent;taux_ab;nb_emarg;nb_votant;nb_blanc_null;nb_exprim;NB_ExtGauche;NB_Gauche;NB_Centre;NB_Droite;NB_ExtDroite;NB_Divers;;LFI/Gauche;LFI/PS;LFI/EELV;EELV/PS;LFI/RN
01_01;1;Saint-Germain-l'Auxerrois;1;37;1099;456;41,49%;643;643;4;639;0;157;144;72;114;14;;0,41;0,62;1,27;0,49;1,40
01_02;1;Saint-Germain-l'Auxerrois;1;59;1232;537;43,59%;695;695;9;686;1;157;193;54;100;10;;0,29;0,42;0,99;0,42;1,31
01_03;1;Saint-Germain-l'Auxerrois;1;56;1225;468;38,20%;756;757;9;748;1;188;177;58;125;19;;0,31;0,48;1,00;0,48;1,21
01_04;1;Halles;1;48;1310;569;43,44%;741;741;9;732;3;211;146;51;124;21;;0,49;0,71;1,89;0,38;1,81
01_05;1;Halles;1;48;1090;444;40,73%;647;646;2;644;1;164;149;44;108;5;;0,29;0,43;0,95;0,46;1,42
01_06;1;Halles;1;58;1281;490;38,25%;791;791;7;784;2;186;159;92;138;16;;0,30;0,46;0,99;0,47;1,02
01_07;1;Palais-Royal;1;53;1127;397;35,23%;730;730;9;721;3;142;192;89;127;10;;0,31;0,45;1,17;0,38;1,06
01_08;1;Palais-Royal;1;28;1000;439;43,90%;561;561;6;555;0;85;159;97;104;14;;0,23;0,35;0,72;0,49;0,67
01_09;1;Place-Vendôme;1;40;962;379;39,40%;583;583;3;580;0;75;175;109;117;13;;0,36;0,47;1,54;0,31;0,98
01_10;1;Place-Vendôme;1;38;922;391;42,41%;530;531;0;531;0;85;150;93;105;5;;0,26;0,40;0,84;0,47;0,80
02_11;1;Vivienne;2;45;1095;460;42,01%;635;635;0;635;1;115;165;85;106;12;;0,30;0,40;1,36;0,30;1,07
02_12;1;Vivienne;2;60;1062;383;36,06%;679;679;7;672;3;155;173;73;113;8;;0,37;0,55;1,25;0,44;1,47
02_13;1;Vivienne;2;47;895;365;40,78%;530;530;4;526;0;111;120;67;117;8;;0,33;0,51;1,00;0,51;0,90
02_14;1;Mail;2;75;1593;696;43,69%;897;897;5;892;2;247;233;70;125;8;;0,38;0,60;1,13;0,53;1,87
02_15;1;Mail;2;75;1483;586;39,51%;897;897;5;892;1;236;234;81;109;13;;0,33;0,52;0,97;0,53;1,70
02_16;1;Mail;2;75;1499;563;37,56%;936;936;2;934;0;216;282;93;116;12;;0,26;0,41;0,84;0,49;1,63
02_17;1;Bonne-Nouvelle;2;69;1558;632;40,56%;926;926;5;921;1;226;229;81;111;13;;0,26;0,38;0,88;0,44;1,90
02_18;1;Bonne-Nouvelle;2;89;1801;783;43,48%;1018;1018;11;1007;2;307;216;54;105;17;;0,30;0,46;0,99;0,47;2,35
02_19;1;Bonne-Nouvelle;2;90;1799;771;42,86%;1028;1028;5;1023;4;338;232;49;99;17;;0,32;0,52;0,91;0,57;2,81
02_20;1;Bonne-Nouvelle;2;71;1409;518;36,76%;891;891;5;886;3;253;205;62;73;9;;0,26;0,39;0,94;0,42;2,52
03_21;5;Enfants-Rouges;3;63;1454;579;39,82%;874;875;10;865;3;225;203;76;107;16;;0,26;0,40;0,83;0,48;1,68
03_22;5;Enfants-Rouges;3;78;1598;613;38,36%;985;985;7;978;1;311;214;75;86;10;;0,36;0,56;1,12;0,51;3,30
03_23;5;Enfants-Rouges;3;61;1319;502;38,06%;817;817;6;811;1;205;182;70;83;13;;0,23;0,33;0,82;0,40;2,10
03_24;5;Enfants-Rouges;3;67;1442;532;36,89%;910;910;10;900;4;226;217;66;98;9;;0,24;0,35;0,85;0,41;1,85
03_25;5;Archives;3;61;1331;517;38,84%;814;814;3;811;4;150;209;70;104;14;;0,19;0,25;0,80;0,32;1,44
03_26;5;Enfants-Rouges;3;78;1505;550;36,54%;955;955;9;946;3;238;198;85;120;10;;0,22;0,32;0,73;0,44;1,40
03_27;5;Archives;3;73;1509;519;34,39%;989;990;9;981;3;216;229;106;141;9;;0,30;0,40;1,14;0,35;2,11
03_28;5;Archives;3;75;1374;469;34,13%;905;905;7;898;0;173;230;100;118;8;;0,18;0,25;0,71;0,36;1,21
03_29;5;Sainte-Avoye;3;73;1651;672;40,70%;979;979;10;969;3;253;201;77;152;18;;0,33;0,48;1,23;0,39;1,44
03_30;5;Sainte-Avoye;3;70;1727;726;42,04%;1001;1001;10;991;1;289;173;86;130;12;;0,30;0,44;0,99;0,45;2,40
03_31;5;Sainte-Avoye;3;90;1610;619;38,45%;991;991;7;984;0;224;236;77;127;10;;0,27;0,36;1,15;0,31;1,70
03_32;5;Arts-et-Métiers;3;62;1515;669;44,16%;846;846;8;838;2;258;198;50;74;14;;0,38;0,56;1,35;0,41;2,70
03_33;5;Arts-et-Métiers;3;87;1560;651;41,73%;909;909;7;902;3;298;183;50;89;12;;0,35;0,55;1,08;0,51;3,13
03_34;5;Arts-et-Métiers;3;176;1692;600;35,46%;1092;1092;10;1082;3;307;244;56;118;14;;0,21;0,33;0,64;0,52;2,40
03_35;5;Arts-et-Métiers;3;76;1494;573;38,35%;920;921;9;912;1;244;214;103;109;9;;0,35;0,53;1,14;0,47;2,22
04_36;7;Saint-Gervais;4;50;1288;554;43,01%;734;734;3;731;6;179;121;83;166;16;;0,50;0,70;2,15;0,32;1,17
04_37;7;Saint-Gervais;4;68;1174;411;35,01%;762;763;7;756;4;180;179;56;128;9;;0,34;0,48;1,30;0,37;1,26
04_38;7;Saint-Gervais;4;71;1465;569;38,84%;896;896;4;892;1;232;195;74;120;8;;0,27;0,40;0,99;0,40;1,84
04_39;7;Saint-Gervais;4;65;1359;482;35,47%;877;877;10;867;1;277;157;66;141;6;;0,54;0,79;2,05;0,38;2,10
04_40;7;Saint-Gervais;4;87;1486;505;33,98%;981;981;3;978;0;201;253;103;134;13;;0,21;0,30;0,79;0,38;1,09
04_41;7;Arsenal;4;85;1703;624;36,64%;1070;1079;6;1073;2;257;255;123;140;18;;0,27;0,41;0,90;0,46;1,73
04_42;7;Arsenal;4;66;1353;507;37,47%;846;846;12;834;5;165;199;90;150;12;;0,23;0,33;0,84;0,39;0,93
04_43;7;Arsenal;4;74;1762;691;39,22%;1071;1071;12;1059;3;285;199;109;202;11;;0,37;0,56;1,21;0,46;1,25
04_44;7;Notre-Dame;4;62;1151;420;36,49%;731;731;3;728;3;141;185;92;131;17;;0,25;0,37;0,94;0,39;1,26
04_45;7;Notre-Dame;4;41;1007;403;40,02%;604;604;8;596;3;100;156;85;88;15;;0,21;0,28;0,80;0,36;0,93
04_46;7;Saint-Gervais;4;50;1084;412;38,01%;673;672;7;665;2;163;131;59;107;15;;0,27;0,39;0,97;0,40;1,68
04_47;7;Saint-Gervais;4;63;1263;426;33,73%;837;837;5;832;2;201;187;67;132;14;;0,32;0,45;1,23;0,37;1,47
04_48;7;Saint-Merri;4;59;1682;688;40,90%;994;994;6;988;2;292;182;65;159;17;;0,39;0,58;1,40;0,41;1,85
04_49;7;Saint-Gervais;4;68;1285;498;38,75%;787;787;4;783;0;182;179;81;101;9;;0,24;0,34;0,90;0,38;1,53
04_50;7;Saint-Gervais;4;8;1183;925;78,19%;258;258;14;244;5;120;18;10;49;3;;1,48;2,44;5,59;0,44;3,39
05_01;2;Sorbonne;5;98;1535;569;37,07%;966;966;7;959;1;245;248;86;140;16;;0,41;0,61;1,45;0,42;1,96
05_02;2;Sorbonne;5;74;1611;559;34,70%;1052;1052;9;1043;1;238;251;123;171;15;;0,33;0,48;1,21;0,40;1,31
05_03;2;Sorbonne;5;81;1729;715;41,35%;1015;1014;6;1008;3;251;217;120;156;10;;0,36;0,52;1,24;0,42;1,46
05_04;2;Sorbonne;5;71;1479;545;36,85%;934;934;6;928;3;204;210;128;148;8;;0,28;0,41;1,01;0,41;1,45
05_05;2;Val-de-Grâce;5;71;1313;470;35,80%;842;843;10;833;0;251;179;94;100;8;;0,46;0,70;1,61;0,44;3,04
