id_bv;num_circo;nb_procu;nb_inscr;nb_abscent;nb_emarg;nb_votant;nb_bl;nb_nul;nb_exprim;NB_ExtGauche;NB_Gauche;NB_Centre;NB_Droite;NB_ExtDroite;NB_Divers; P_V_G ; P_V_D ;voix_Gauche;voix_Droite
01_01;1;129;1080;299;781;781;7;1;773;3;279;324;70;96;1;0,3648;0,2147;282;166
01_02;1;137;1211;307;904;904;5;4;895;0;312;414;73;91;5;0,3486;0,1832;312;164
01_03;1;140;1211;337;874;874;3;5;866;8;315;346;65;130;2;0,373;0,2252;323;195
01_04;1;133;1295;383;912;912;7;5;900;18;416;315;45;106;0;0,4822;0,1678;434;151
01_05;1;145;1077;254;823;823;3;2;818;1;320;356;56;82;3;0,3924;0,1687;321;138
01_06;1;147;1267;345;921;922;14;2;906;5;334;364;63;135;5;0,3742;0,2185;339;198
01_07;1;131;1109;287;822;822;11;5;806;2;257;376;75;96;0;0,3213;0,2122;259;171
01_08;1;97;973;285;688;688;12;4;672;2;171;311;86;99;3;0,2574;0,2753;173;185
01_09;1;99;934;262;672;672;3;5;664;3;145;327;77;111;1;0,2229;0,2831;148;188
01_10;1;98;895;237;660;658;5;2;651;1;142;353;71;82;2;0,2197;0,235;143;153
02_11;1;120;1084;294;790;790;3;1;786;1;250;356;84;93;2;0,3193;0,2252;251;177
02_12;1;121;1049;224;822;825;4;2;819;5;293;373;60;87;1;0,3639;0,1795;298;147
02_13;1;91;883;257;626;626;2;2;622;2;187;291;59;80;3;0,3039;0,2235;189;139
02_14;1;207;1553;408;1145;1145;7;1;1137;5;481;453;77;120;1;0,4274;0,1733;486;197
02_15;1;169;1456;357;1097;1099;13;1;1085;3;424;497;68;92;1;0,3935;0,1475;427;160
02_16;1;181;1471;342;1129;1129;4;1;1124;3;390;546;88;96;1;0,3496;0,1637;393;184
02_17;1;159;1530;382;1148;1148;10;3;1135;8;459;498;68;100;2;0,4115;0,148;467;168
02_18;1;233;1782;502;1279;1280;7;5;1268;6;583;520;62;96;1;0,4645;0,1246;589;158
02_19;1;227;1792;501;1291;1291;13;4;1274;5;606;489;68;102;4;0,4796;0,1334;611;170
02_20;1;179;1394;321;1073;1073;11;2;1060;5;516;413;46;74;6;0,4915;0,1132;521;120
03_21;5;171;1439;344;1095;1095;7;7;1081;3;459;481;57;81;0;0,4274;0,1277;462;138
03_22;5;215;1580;356;1226;1224;4;6;1214;7;595;477;59;76;0;0,4959;0,1112;602;135
03_23;5;210;1287;287;999;1000;4;4;992;1;446;436;46;63;0;0,4506;0,1099;447;109
03_24;5;193;1428;323;1105;1105;7;2;1096;3;452;501;56;84;0;0,4151;0,1277;455;140
03_25;5;198;1496;332;1163;1164;3;2;1159;1;485;512;66;95;0;0,4193;0,1389;486;161
03_26;5;178;1312;298;1014;1014;7;1;1006;7;409;450;48;92;0;0,4135;0,1392;416;140
03_27;5;203;1483;306;1176;1177;6;2;1169;0;479;524;62;104;0;0,4098;0,142;479;166
03_28;5;174;1355;292;1063;1063;6;2;1055;2;399;485;70;99;0;0,3801;0,1602;401;169
03_29;5;154;1633;456;1177;1177;10;6;1161;9;507;449;64;132;0;0,4444;0,1688;516;196
03_30;5;190;1702;440;1261;1262;5;4;1253;3;602;472;64;112;0;0,4828;0,1405;605;176
03_31;5;197;1570;363;1207;1207;10;6;1191;4;520;502;53;112;0;0,44;0,1385;524;165
03_32;5;157;1496;421;1075;1075;8;1;1066;4;503;433;49;77;0;0,4756;0,1182;507;126
03_33;5;218;1535;408;1126;1127;2;4;1121;2;549;439;53;78;0;0,4915;0,1169;551;131
03_34;5;235;1659;365;1294;1294;11;5;1278;7;626;507;44;94;0;0,4953;0,108;633;138
03_35;5;186;1471;353;1118;1118;8;5;1105;5;472;450;69;109;0;0,4317;0,1611;477;178
04_36;7;111;1259;364;895;895;8;5;882;7;372;283;69;151;0;0,4297;0,2494;379;220
04_37;7;157;1160;287;873;873;10;4;859;3;364;343;56;93;0;0,4272;0,1735;367;149
04_38;7;185;1433;365;1068;1068;6;3;1059;6;479;421;52;101;0;0,458;0,1445;485;153
04_39;7;145;1341;339;1001;1002;11;3;988;7;481;325;67;108;0;0,4939;0,1771;488;175
04_40;7;213;1467;321;1146;1146;6;2;1138;0;431;501;89;117;0;0,3787;0,181;431;206
04_41;7;194;1673;391;1281;1282;6;3;1273;8;510;560;83;112;0;0,4069;0,1532;518;195
04_42;7;153;1323;295;1028;1028;6;1;1021;5;341;465;71;139;0;0,3389;0,2057;346;210
04_43;7;169;1737;459;1278;1278;7;3;1268;1;549;428;105;185;0;0,4338;0,2287;550;290
04_44;7;144;1131;274;857;857;6;1;850;5;276;377;83;109;0;0,3306;0,2259;281;192
04_45;7;131;986;245;742;741;5;2;734;3;221;346;75;89;0;0,3052;0,2234;224;164
04_46;7;135;1064;256;808;808;5;1;802;12;339;323;51;77;0;0,4377;0,1596;351;128
04_47;7;142;1240;274;966;966;10;2;954;4;393;410;51;96;0;0,4161;0,1541;397;147
