id_bv;nb_nature
01_01;1
01_02;4
01_04;6
01_05;2
01_06;6
01_08;4
01_10;2
02_11;3
02_12;1
02_13;4
02_14;4
02_15;3
02_16;2
02_17;6
02_18;6
02_19;6
02_20;2
03_21;3
03_23;2
03_24;4
03_25;1
03_26;3
03_27;4
03_28;3
03_29;2
03_30;6
03_31;4
03_32;3
03_33;4
03_34;2
03_35;3
04_37;2
04_38;3
04_39;5
04_40;1
04_41;1
04_42;2
04_43;4
04_44;2
04_45;2
04_46;5
04_47;1
04_48;3
04_49;4
05_01;1
05_02;3
05_03;2
05_04;1
05_05;2
05_06;2
05_07;1
05_08;2
05_09;8
05_10;2
05_11;4
05_13;3
05_14;1
05_15;6
05_16;6
05_17;3
05_18;4
05_19;4
05_20;3
05_21;6
05_22;3
05_23;1
05_24;4
05_25;2
06_01;5
06_02;2
06_04;6
06_05;1
06_06;2
06_07;3
06_11;3
06_12;3
06_14;2
06_15;4
06_16;4
06_17;1
06_20;2
06_21;3
06_22;4
07_01;1
07_03;4
07_04;2
07_05;1
07_06;1
07_07;1
07_08;6
07_09;2
07_10;3
07_12;3
07_13;1
07_14;6
07_15;5
07_16;8
07_18;1
07_19;5
07_20;3
07_21;4
07_22;4
07_24;2
07_25;1
08_02;3
08_06;2
08_07;2
08_09;3
08_10;2
08_11;2
08_12;2
08_13;6
08_14;4
08_15;1
08_16;2
08_17;5
08_18;4
09_01;1
09_02;5
09_03;2
09_04;6
09_05;3
09_06;5
09_07;6
09_08;2
09_10;5
09_13;3
09_14;3
09_15;3
09_16;2
09_17;1
09_18;1
09_19;3
09_20;2
09_21;3
09_22;2
09_24;1
09_25;1
09_27;5
10_01;3
10_03;2
10_04;1
10_05;2
10_06;4
10_07;2
10_08;2
10_09;3
10_10;1
10_11;3
10_12;7
10_13;2
10_14;5
10_15;2
10_16;1
10_17;1
10_18;4
10_19;4
10_20;1
10_21;2
10_22;5
10_23;5
10_24;1
10_25;6
10_26;7
10_27;5
10_28;1
10_29;1
10_30;3
10_31;6
10_32;3
10_33;3
10_35;3
10_36;2
10_37;2
10_38;3
10_39;1
11_01;3
11_02;3
11_03;3
11_04;3
11_05;8
11_06;1
11_07;3
11_08;1
11_09;5
11_10;1
11_11;1
11_12;5
11_13;2
11_14;10
11_15;4
11_16;1
11_17;1
11_18;8
11_19;6
11_20;3
11_21;2
11_22;4
11_23;3
11_24;2
11_25;4
11_26;3
11_27;1
11_28;4
11_29;3
11_30;6
11_31;3
11_32;2
11_33;7
11_34;5
11_35;7
11_36;4
11_37;1
11_38;4
11_40;3
11_41;1
11_42;5
11_43;2
11_44;6
11_45;9
11_46;3
11_47;4
11_48;3
11_49;5
11_50;8
11_51;5
11_52;5
11_53;2
11_54;3
11_55;4
12_01;2
12_02;6
12_03;5
12_04;1
12_05;5
12_06;2
12_07;2
12_08;3
12_09;9
12_10;6
12_11;1
12_12;2
12_13;2
12_14;2
12_15;5
12_17;4
12_19;5
12_20;6
12_21;3
12_22;4
12_23;3
12_24;5
12_25;4
12_26;5
12_27;3
12_28;2
12_29;1
12_30;5
12_31;4
12_32;2
12_33;4
12_34;5
12_35;1
12_36;3
12_38;5
12_39;6
12_41;5
12_42;4
12_43;1
12_44;2
12_45;3
12_46;1
12_47;2
12_48;2
12_49;2
12_50;4
12_51;4
12_52;4
12_53;7
12_54;1
12_55;6
12_56;3
12_57;6
12_58;2
12_59;4
12_60;1
12_61;1
12_62;2
12_63;4
12_64;4
13_01;5
13_02;2
13_03;3
13_04;2
13_05;6
13_06;5
13_07;4
13_08;2
13_09;1
13_10;4
13_11;5
13_12;1
13_13;10
13_14;6
13_15;4
13_16;6
13_17;1
13_18;3
13_19;8
13_20;3
13_21;3
13_22;6
13_23;2
13_24;8
13_25;9
13_26;3
13_27;14
13_28;2
13_29;1
13_30;1
13_31;1
13_32;7
13_33;5
13_34;1
13_35;4
13_36;3
13_37;8
13_38;5
13_39;8
13_40;4
13_41;8
13_42;3
13_43;3
13_44;5
13_45;10
13_46;7
13_47;10
13_48;8
13_49;7
13_50;3
13_52;3
13_53;5
13_54;5
13_55;2
13_56;4
13_57;3
13_58;8
13_59;1
13_60;4
13_61;4
13_62;1
13_63;3
13_64;7
13_65;4
13_66;2
13_67;1
13_68;5
13_69;2
13_71;17
13_72;5
14_01;6
14_02;5
14_03;3
14_04;5
14_05;4
14_06;6
14_07;1
14_08;5
14_09;4
14_10;1
14_11;6
14_12;3
14_13;7
14_14;8
14_15;2
14_16;1
14_17;3
14_18;1
14_20;4
14_21;3
14_22;5
14_23;5
14_24;7
14_25;3
14_26;4
14_27;3
14_29;4
14_30;3
14_31;10
14_32;3
14_33;5
14_34;3
14_35;8
14_36;4
14_37;5
14_38;3
14_39;6
14_40;9
14_41;23
14_42;3
14_43;4
14_44;2
14_45;1
14_46;4
14_47;1
14_48;6
14_49;6
14_50;2
14_51;2
14_52;4
14_53;4
14_54;2
14_55;1
14_56;3
14_57;2
14_58;8
15_01;4
15_02;7
15_03;3
15_04;9
15_05;10
15_06;9
15_07;5
15_08;2
15_09;5
15_10;9
15_11;5
15_12;6
15_13;9
15_14;1
15_15;3
15_16;13
15_17;4
15_18;3
15_19;3
15_20;3
15_21;1
15_22;6
15_23;3
15_24;2
15_25;7
15_26;3
15_27;5
15_28;3
15_29;6
15_30;4
15_31;2
15_32;6
15_33;3
15_34;4
15_35;3
15_36;4
15_37;6
15_38;8
15_39;4
15_40;2
15_41;2
15_42;5
15_43;8
15_44;9
15_45;9
