id_bv;v_D_EUR; p_D_EUR ;v_D_LEG; p_D_EUR ; ecart_D ;nb_LR;nb_RN;nb_Rec;nb_autreDroite;nb_extDroite;partie_dominant
01_01;188; 0,2942 ; 166 ; 0,2147 ;-22;72;60;42;2;12;Les Républicains
01_02;154; 0,2245 ; 164 ; 0,1832 ;10;54;54;37;2;7;Les Républicains
01_03;183; 0,2447 ; 195 ; 0,2252 ;12;58;71;37;0;17;Rassemblement National
01_04;175; 0,2391 ; 151 ; 0,1678 ;-24;51;69;34;1;20;Rassemblement National
01_05;153; 0,2376 ; 138 ; 0,1687 ;-15;44;53;41;3;12;Rassemblement National
01_06;230; 0,2934 ; 198 ; 0,2185 ;-32;92;85;42;2;9;Les Républicains
01_07;217; 0,3010 ; 171 ; 0,2122 ;-46;89;66;43;4;15;Les Républicains
01_08;202; 0,3640 ; 185 ; 0,2753 ;-17;97;51;44;1;9;Les Républicains
01_09;226; 0,3897 ; 188 ; 0,2831 ;-38;109;44;64;2;7;Les Républicains
01_10;198; 0,3729 ; 153 ; 0,2350 ;-45;93;46;53;2;4;Les Républicains
02_11;191; 0,3008 ; 177 ; 0,2252 ;-14;85;57;38;4;7;Les Républicains
02_12;186; 0,2768 ; 147 ; 0,1795 ;-39;73;55;47;0;11;Les Républicains
02_13;184; 0,3498 ; 139 ; 0,2235 ;-45;67;59;54;1;3;Les Républicains
02_14;195; 0,2186 ; 197 ; 0,1733 ;2;70;67;50;0;8;Les Républicains
02_15;190; 0,2130 ; 160 ; 0,1475 ;-30;81;66;31;1;11;Les Républicains
02_16;209; 0,2238 ; 184 ; 0,1637 ;-25;93;54;52;2;8;Les Républicains
02_17;192; 0,2085 ; 168 ; 0,1480 ;-24;81;52;48;2;9;Les Républicains
02_18;160; 0,1589 ; 158 ; 0,1246 ;-2;54;60;37;3;6;Rassemblement National
02_19;148; 0,1447 ; 170 ; 0,1334 ;22;49;53;35;1;10;Rassemblement National
02_20;135; 0,1524 ; 120 ; 0,1132 ;-15;62;44;22;2;5;Les Républicains
03_21;183; 0,2116 ; 138 ; 0,1277 ;-45;76;56;37;5;9;Les Républicains
03_22;161; 0,1646 ; 135 ; 0,1112 ;-26;75;47;26;4;9;Les Républicains
03_23;154; 0,1899 ; 109 ; 0,1099 ;-45;70;40;36;1;7;Les Républicains
03_24;164; 0,1822 ; 140 ; 0,1277 ;-24;66;53;35;3;7;Les Républicains
03_25;174; 0,2145 ; 161 ; 0,1389 ;-13;70;45;52;2;5;Les Républicains
03_26;205; 0,2167 ; 140 ; 0,1392 ;-65;85;67;47;1;5;Les Républicains
03_27;248; 0,2528 ; 166 ; 0,1420 ;-82;106;53;73;2;14;Les Républicains
03_28;218; 0,2428 ; 169 ; 0,1602 ;-49;100;56;50;2;10;Les Républicains
03_29;230; 0,2374 ; 196 ; 0,1688 ;-34;77;86;50;0;17;Rassemblement National
03_30;216; 0,2180 ; 176 ; 0,1405 ;-40;86;55;53;3;19;Les Républicains
03_31;205; 0,2083 ; 165 ; 0,1385 ;-40;77;66;49;3;10;Les Républicains
