id_bv;total_G_EUR;total_G_LEG;ecart_voix_G;p_G_EUR;p_G_LEG;nb_PS;nb_EELV;nb_PCF;nb_LFI;autresGauche;ExtGauche;partie_dominant
01_01;295;282;-13;0,4617;0,3648;136;66;4;84;3;2;Partie Socialiste
01_02;329;312;-17;0,4796;0,3486;171;72;5;71;9;1;Partie Socialiste
01_03;369;323;-46;0,4933;0,3730;178;86;11;86;5;3;Partie Socialiste
01_04;390;434;44;0,5328;0,4822;175;66;15;125;5;4;Partie Socialiste
01_05;338;321;-17;0,5248;0,3924;173;79;5;75;5;1;Partie Socialiste
01_06;379;339;-40;0,4834;0,3742;189;88;8;87;3;4;Partie Socialiste
01_07;303;259;-44;0,4202;0,3213;156;60;8;70;4;5;Partie Socialiste
01_08;181;173;-8;0,3261;0,2574;96;47;3;34;1;0;Partie Socialiste
01_09;166;148;-18;0,2862;0,2229;91;28;2;43;2;0;Partie Socialiste
01_10;178;143;-35;0,3352;0,2197;93;44;3;37;1;0;Partie Socialiste
02_11;267;251;-16;0,4205;0,3193;151;45;5;61;4;1;Partie Socialiste
02_12;306;298;-8;0,4554;0,3639;148;65;3;81;6;3;Partie Socialiste
02_13;214;189;-25;0,4068;0,3039;103;53;4;53;1;0;Partie Socialiste
02_14;456;486;30;0,5112;0,4274;208;111;6;125;5;1;Partie Socialiste
02_15;454;427;-27;0,509;0,3935;216;115;6;112;3;2;Partie Socialiste
02_16;431;393;-38;0,4615;0,3496;214;105;16;88;7;1;Partie Socialiste
02_17;487;467;-20;0,5288;0,4115;258;113;8;99;6;3;Partie Socialiste
02_18;615;589;-26;0,6107;0,4645;306;143;14;141;9;2;Partie Socialiste
02_19;626;611;-15;0,6119;0,4796;286;163;10;149;16;2;Partie Socialiste
02_20;537;521;-16;0,6061;0,4915;283;118;17;111;7;1;Partie Socialiste
03_21;464;462;-2;0,5364;0,4274;235;113;12;94;6;4;Partie Socialiste
03_22;593;602;9;0,6063;0,4959;275;139;14;155;3;7;Partie Socialiste
03_23;463;447;-16;0,5709;0,4506;255;103;15;84;3;3;Partie Socialiste
03_24;511;455;-56;0,5678;0,4151;281;115;7;98;6;4;Partie Socialiste
03_25;414;486;72;0,5105;0,4193;256;81;0;65;4;8;Partie Socialiste
03_26;533;416;-117;0,5634;0,4135;291;128;10;94;6;4;Partie Socialiste
03_27;496;479;-17;0,5056;0,4098;277;98;2;112;4;3;Partie Socialiste
03_28;442;401;-41;0,4922;0,3801;269;96;9;68;0;0;Partie Socialiste
03_29;521;516;-5;0,5377;0,4444;260;101;17;124;11;8;Partie Socialiste
03_30;590;605;15;0,5954;0,4828;298;133;14;132;10;3;Partie Socialiste
03_31;534;524;-10;0,5427;0,4400;309;97;9;112;6;1;Partie Socialiste
03_32;502;507;5;0,599;0,4756;241;100;16;135;7;3;Partie Socialiste
03_33;568;551;-17;0,6297;0,4915;262;133;10;144;11;8;Partie Socialiste
03_34;650;633;-17;0,6007;0,4953;340;177;9;113;8;3;Partie Socialiste
03_35;477;477;0;0,523;0,4317;230;107;11;122;4;3;Partie Socialiste
04_36;345;379;34;0,472;0,4297;161;52;6;112;9;5;Partie Socialiste
04_37;384;367;-17;0,5079;0,4272;202;74;1;96;9;2;Partie Socialiste
04_38;495;485;-10;0,5549;0,4580;262;106;13;105;8;1;Partie Socialiste
04_39;497;488;-9;0,5732;0,4939;213;82;18;168;9;7;Partie Socialiste
04_40;475;431;-44;0,4857;0,3787;272;102;8;81;10;2;Partie Socialiste
04_41;537;518;-19;0,5005;0,4069;276;126;13;114;4;4;Partie Socialiste
04_42;383;346;-37;0,4592;0,3389;215;83;7;70;5;3;Partie Socialiste
04_43;538;550;12;0,508;0,4338;252;117;16;142;10;1;Partie Socialiste
04_44;303;281;-22;0,4162;0,3306;161;63;14;59;5;1;Partie Socialiste
04_45;252;224;-28;0,4228;0,3052;151;54;0;43;3;1;Partie Socialiste
04_46;353;351;-2;0,5308;0,4377;188;76;8;74;5;2;Partie Socialiste
04_47;432;397;-35;0,5192;0,4161;228;84;13;103;1;3;Partie Socialiste
04_48;565;582;17;0,5719;0,4834;271;112;19;157;4;2;Partie Socialiste
04_49;413;388;-25;0,5275;0,4208;229;87;15;78;2;2;Partie Socialiste
05_01;469;507;38;0,4891;0,4386;221;93;15;135;2;3;Partie Socialiste
05_02;483;483;0;0,4631;0,4012;244;97;17;117;7;1;Partie Socialiste
05_03;505;531;26;0,501;0,4310;250;105;7;130;9;4;Partie Socialiste
05_04;434;431;-3;0,4677;0,3904;228;93;11;94;6;2;Partie Socialiste
05_05;452;473;21;0,5426;0,4754;200;87;17;140;7;1;Partie Socialiste
05_06;484;505;21;0,529;0,4715;230;114;0;127;5;8;Partie Socialiste
05_07;479;494;15;0,4766;0,4204;253;103;11;106;4;2;Partie Socialiste
05_08;504;471;-33;0,4688;0,3783;293;95;12;92;12;0;Partie Socialiste
05_09;651;621;-30;0,528;0,4439;345;151;20;125;8;2;Partie Socialiste
05_10;522;505;-17;0,5019;0,4187;277;97;15;112;16;5;Partie Socialiste
05_11;574;575;1;0,5488;0,4671;283;131;26;124;7;3;Partie Socialiste
05_12;596;612;16;0,572;0,5104;305;119;21;136;10;5;Partie Socialiste
05_13;522;550;28;0,5283;0,4493;252;127;15;116;9;3;Partie Socialiste
05_14;483;486;3;0,5716;0,4860;270;98;12;94;7;2;Partie Socialiste
05_15;608;635;27;0,5763;0,5100;321;142;15;120;9;1;Partie Socialiste
05_16;602;639;37;0,5839;0,5383;301;117;13;161;8;2;Partie Socialiste
05_17;537;556;19;0,5623;0,5153;274;116;9;124;10;4;Partie Socialiste
05_18;470;497;27;0,5589;0,5199;208;113;11;133;4;1;Partie Socialiste
05_19;484;503;19;0,5278;0,4719;240;101;14;119;7;3;Partie Socialiste
05_20;506;557;51;0,5326;0,4916;229;110;9;141;15;2;Partie Socialiste
05_21;591;617;26;0,5683;0,5057;306;136;15;117;12;5;Partie Socialiste
05_22;447;450;3;0,476;0,4229;231;106;13;92;5;0;Partie Socialiste
05_23;450;468;18;0,4722;0,4209;223;82;16;117;8;4;Partie Socialiste
05_24;561;605;44;0,5724;0,5050;290;130;17;114;6;4;Partie Socialiste
05_25;590;598;8;0,5673;0,4811;300;137;5;140;7;1;Partie Socialiste
06_01;316;315;-1;0,3901;0,3261;173;72;7;60;3;1;Partie Socialiste
06_02;292;257;-35;0,3468;0,2599;178;60;1;52;1;0;Partie Socialiste
06_03;368;341;-27;0,4407;0,3386;203;81;11;66;3;4;Partie Socialiste
06_04;291;252;-39;0,4292;0,3154;173;57;5;49;6;1;Partie Socialiste
06_05;344;329;-15;0,4416;0,3635;194;73;8;66;1;2;Partie Socialiste
06_06;330;319;-11;0,4539;0,3600;194;60;8;61;4;3;Partie Socialiste
06_07;231;197;-34;0,3604;0,2562;130;52;4;44;1;0;Partie Socialiste
06_08;227;217;-10;0,3626;0,2782;136;43;6;40;2;0;Partie Socialiste
06_09;194;194;0;0,3553;0,2975;117;30;3;42;1;1;Partie Socialiste
06_10;287;257;-30;0,3737;0,2891;168;62;11;31;10;5;Partie Socialiste
06_11;310;297;-13;0,3735;0,3062;176;53;9;65;7;0;Partie Socialiste
06_12;251;229;-22;0,3161;0,2503;149;51;8;37;5;1;Partie Socialiste
06_13;281;264;-17;0,3098;0,2498;171;54;5;45;5;1;Partie Socialiste
06_14;304;294;-10;0,3897;0,3066;160;60;6;72;5;1;Partie Socialiste
06_15;290;265;-25;0,3545;0,2766;172;57;6;53;1;1;Partie Socialiste
06_16;358;338;-20;0,3664;0,2931;186;93;11;65;3;0;Partie Socialiste
06_17;402;384;-18;0,4012;0,3216;243;78;10;63;6;2;Partie Socialiste
06_18;244;234;-10;0,3403;0,2819;139;50;6;45;3;1;Partie Socialiste
06_19;241;223;-18;0,3347;0,2693;140;60;1;37;2;1;Partie Socialiste
06_20;279;253;-26;0,3436;0,2771;159;56;7;54;2;1;Partie Socialiste
06_21;320;281;-39;0,4082;0,3119;192;59;11;53;4;1;Partie Socialiste
06_22;329;305;-24;0,3672;0,2880;210;54;6;55;4;0;Partie Socialiste
07_01;153;125;-28;0,246;0,1682;88;34;4;21;5;1;Partie Socialiste
07_02;229;177;-52;0,2678;0,1729;139;48;1;39;0;2;Partie Socialiste
07_03;211;177;-34;0,2624;0,1838;137;32;5;32;5;0;Partie Socialiste
07_04;205;216;11;0,2645;0,2298;100;46;4;54;1;0;Partie Socialiste
07_05;224;173;-51;0,2602;0,1693;134;40;7;42;1;0;Partie Socialiste
07_06;257;221;-36;0,28;0,2062;140;54;6;55;2;0;Partie Socialiste
07_07;256;230;-26;0,287;0,2178;148;54;4;47;2;1;Partie Socialiste
07_08;282;227;-55;0,2706;0,1908;166;52;5;51;4;4;Partie Socialiste
07_09;242;219;-23;0,2973;0,2281;131;58;2;45;5;1;Partie Socialiste
07_10;315;267;-48;0,3195;0,2334;167;63;11;71;3;0;Partie Socialiste
07_11;173;121;-52;0,2031;0,1286;109;38;1;23;1;1;Partie Socialiste
07_12;193;153;-40;0,2377;0,1599;113;35;7;31;6;1;Partie Socialiste
07_13;205;141;-64;0,2491;0,1445;114;44;6;38;3;0;Partie Socialiste
07_14;249;219;-30;0,2795;0,2102;122;65;5;53;4;0;Partie Socialiste
07_15;269;204;-65;0,2832;0,1868;160;53;5;44;5;2;Partie Socialiste
07_16;276;235;-41;0,2924;0,2081;146;65;10;48;3;4;Partie Socialiste
07_17;255;238;-17;0,3184;0,2419;134;48;1;68;2;2;Partie Socialiste
07_18;262;256;-6;0,3043;0,2459;132;56;7;62;2;3;Partie Socialiste
07_19;208;195;-13;0,2656;0,2145;114;43;6;43;2;0;Partie Socialiste
07_20;186;175;-11;0,2441;0,1852;97;39;3;45;2;0;Partie Socialiste
07_21;225;198;-27;0,2291;0,1757;126;33;11;53;1;1;Partie Socialiste
07_22;210;171;-39;0,2658;0,1767;129;34;5;40;2;0;Partie Socialiste
07_23;145;117;-28;0,1921;0,1337;77;26;5;34;3;0;Partie Socialiste
07_24;99;83;-16;0,1473;0,1011;53;20;1;23;2;0;Partie Socialiste
07_25;148;120;-28;0,196;0,1292;80;37;2;27;2;0;Partie Socialiste
08_01;228;182;-46;0,2336;0,1533;110;54;3;54;6;1;Partie Socialiste
08_02;193;162;-31;0,2323;0,1591;103;39;1;45;5;0;Partie Socialiste
08_03;237;185;-52;0,2368;0,1636;125;57;2;49;4;0;Partie Socialiste
08_04;178;120;-58;0,203;0,1126;99;33;6;37;2;1;Partie Socialiste
08_05;314;227;-87;0,2836;0,1787;163;71;9;63;6;2;Partie Socialiste
08_06;350;308;-42;0,3539;0,2709;176;83;11;72;7;1;Partie Socialiste
08_07;374;329;-45;0,3681;0,2739;186;100;7;73;6;2;Partie Socialiste
08_08;394;368;-26;0,4108;0,3151;176;81;4;120;4;9;Partie Socialiste
08_09;333;258;-75;0,2968;0,2011;159;68;15;85;5;1;Partie Socialiste
08_10;172;133;-39;0,294;0,1764;104;32;4;29;2;1;Partie Socialiste
08_11;221;200;-21;0,3166;0,2395;103;58;7;48;2;3;Partie Socialiste
08_12;194;158;-36;0,2611;0,1761;92;36;2;60;3;1;Partie Socialiste
08_13;232;175;-57;0,2782;0,1707;112;39;3;71;7;0;Partie Socialiste
08_14;207;208;1;0,245;0,1953;86;43;3;72;3;0;Partie Socialiste
08_15;201;155;-46;0,2199;0,1367;102;49;3;43;4;0;Partie Socialiste
08_16;211;172;-39;0,2057;0,1469;99;37;4;68;2;1;Partie Socialiste
08_17;108;95;-13;0,2517;0,1759;59;16;0;33;0;0;Partie Socialiste
08_18;97;90;-7;0,2086;0,1531;44;15;3;34;1;0;Partie Socialiste
09_01;403;367;-36;0,5056;0,3843;215;89;15;70;9;5;Partie Socialiste
09_02;546;532;-14;0,5784;0,4687;266;122;9;143;4;2;Partie Socialiste
09_03;474;446;-28;0,5075;0,3989;249;114;8;99;3;1;Partie Socialiste
09_04;521;460;-61;0,5513;0,4060;300;99;9;109;4;0;Partie Socialiste
09_05;492;447;-45;0,5184;0,3857;261;107;7;105;8;4;Partie Socialiste
09_06;416;361;-55;0,4765;0,3346;215;88;10;91;5;7;Partie Socialiste
09_07;334;311;-23;0,4149;0,3040;173;65;6;82;7;1;Partie Socialiste
09_08;491;375;-116;0,4703;0,3051;271;122;5;83;8;2;Partie Socialiste
09_09;400;335;-65;0,4415;0,3178;213;78;3;101;2;3;Partie Socialiste
09_10;479;405;-74;0,4632;0,3350;268;113;8;83;4;3;Partie Socialiste
09_11;532;472;-60;0,5336;0,4055;298;100;12;110;4;8;Partie Socialiste
09_12;507;474;-33;0,5259;0,4221;252;108;7;136;2;2;Partie Socialiste
09_13;563;538;-25;0,5852;0,4552;295;117;5;141;5;0;Partie Socialiste
09_14;541;457;-84;0,4963;0,3627;310;119;15;88;7;2;Partie Socialiste
09_15;466;422;-44;0,4814;0,3702;254;116;8;80;4;4;Partie Socialiste
09_16;469;398;-71;0,5011;0,3592;263;106;7;83;7;3;Partie Socialiste
09_17;410;373;-37;0,4461;0,3388;213;108;11;73;4;1;Partie Socialiste
09_18;564;486;-78;0,5601;0,4122;284;133;20;115;6;6;Partie Socialiste
09_19;526;454;-72;0,5566;0,4072;291;112;6;104;8;5;Partie Socialiste
09_20;484;444;-40;0,485;0,3769;259;114;10;92;6;3;Partie Socialiste
09_21;487;476;-11;0,4919;0,3908;260;104;10;105;5;3;Partie Socialiste
09_22;463;434;-29;0,5066;0,3910;243;114;13;84;5;4;Partie Socialiste
09_23;456;411;-45;0,5272;0,3914;257;97;5;89;8;0;Partie Socialiste
09_24;517;435;-82;0,5313;0,3829;302;107;10;87;8;3;Partie Socialiste
09_25;605;553;-52;0,599;0,4503;319;127;10;144;2;3;Partie Socialiste
09_26;547;498;-49;0,5389;0,4164;295;126;11;105;8;2;Partie Socialiste
09_27;656;651;-5;0,6218;0,5267;301;158;13;162;17;5;Partie Socialiste
10_01;701;745;44;0,6588;0,6037;318;175;18;177;8;5;Partie Socialiste
10_02;711;725;14;0,6837;0,5982;306;194;15;181;12;3;Partie Socialiste
10_03;714;727;13;0,7021;0,5974;340;169;16;184;3;2;Partie Socialiste
10_04;587;613;26;0,6939;0,5946;275;138;11;160;2;1;Partie Socialiste
10_05;556;572;16;0,6435;0,5442;272;126;19;133;4;2;Partie Socialiste
10_06;609;642;33;0,6438;0,5753;272;138;11;174;9;5;Partie Socialiste
10_07;547;620;73;0,7004;0,6339;244;143;10;144;4;2;Partie Socialiste
10_08;709;722;13;0,6971;0,5923;335;166;15;179;7;7;Partie Socialiste
10_09;603;617;14;0,603;0,5008;290;153;12;136;10;2;Partie Socialiste
10_10;723;720;-3;0,7102;0,6102;352;161;18;174;8;10;Partie Socialiste
10_11;683;749;66;0,702;0,6407;271;160;19;217;9;7;Partie Socialiste
10_12;767;849;82;0,7859;0,7189;300;197;15;243;6;6;Partie Socialiste
10_13;691;841;150;0,761;0,7207;215;141;20;298;9;8;La France Insoumise
10_14;803;874;71;0,7943;0,7117;262;222;20;284;8;7;La France Insoumise
10_15;625;668;43;0,703;0,6290;239;168;16;191;5;6;Partie Socialiste
10_16;640;706;66;0,7232;0,6598;255;164;16;196;5;4;Partie Socialiste
10_17;352;440;88;0,5043;0,5000;102;63;20;154;8;5;La France Insoumise
10_18;467;564;97;0,6294;0,5956;175;95;15;172;4;6;Partie Socialiste
10_19;471;510;39;0,6382;0,5769;176;93;23;166;4;9;Partie Socialiste
10_20;555;632;77;0,6964;0,6590;225;138;20;165;4;3;Partie Socialiste
10_21;526;638;112;0,6885;0,6386;195;116;14;191;7;3;Partie Socialiste
10_22;679;743;64;0,6978;0,6281;288;177;11;199;3;1;Partie Socialiste
10_23;606;637;31;0,724;0,6480;275;146;21;152;7;5;Partie Socialiste
10_24;541;604;63;0,6865;0,6138;230;136;8;158;3;6;Partie Socialiste
10_25;574;654;80;0,6958;0,6606;241;133;17;177;4;2;Partie Socialiste
10_26;570;615;45;0,6968;0,6321;228;153;13;166;6;4;Partie Socialiste
10_27;624;708;84;0,7256;0,6711;231;126;17;237;6;7;La France Insoumise
10_28;573;604;31;0,6388;0,5774;267;108;21;163;10;4;Partie Socialiste
10_29;593;575;-18;0,5978;0,5000;275;132;9;161;12;4;Partie Socialiste
10_30;599;623;24;0,6462;0,5613;273;136;16;164;8;2;Partie Socialiste
10_31;430;430;0;0,5749;0,4614;242;94;2;83;4;5;Partie Socialiste
10_32;556;645;89;0,6924;0,6555;214;125;16;193;6;2;Partie Socialiste
10_33;639;641;2;0,6946;0,5963;304;143;7;175;5;5;Partie Socialiste
10_34;514;538;24;0,5762;0,4778;244;125;9;129;7;0;Partie Socialiste
10_35;515;543;28;0,5961;0,5211;257;104;6;142;4;2;Partie Socialiste
10_36;619;674;55;0,6692;0,5876;301;147;15;148;5;3;Partie Socialiste
10_37;497;523;26;0,6166;0,5225;225;111;13;143;4;1;Partie Socialiste
10_38;707;688;-19;0,6766;0,5396;371;153;7;169;7;0;Partie Socialiste
10_39;705;724;19;0,6987;0,5901;304;137;19;228;9;8;Partie Socialiste
11_01;746;840;94;0,6631;0,6048;317;196;15;204;8;6;Partie Socialiste
11_02;641;645;4;0,607;0,5164;331;146;10;138;9;7;Partie Socialiste
11_03;645;756;111;0,6775;0,6407;253;147;28;209;5;3;Partie Socialiste
11_04;665;710;45;0,6192;0,5457;326;145;19;162;11;2;Partie Socialiste
11_05;746;817;71;0,6655;0,5964;357;157;24;197;3;8;Partie Socialiste
11_06;755;791;36;0,6729;0,6066;345;154;24;207;11;14;Partie Socialiste
11_07;629;645;16;0,6418;0,5317;316;123;11;167;8;4;Partie Socialiste
11_08;663;749;86;0,6752;0,6226;301;141;14;194;5;8;Partie Socialiste
11_09;744;773;29;0,6685;0,5812;340;188;12;193;6;5;Partie Socialiste
11_10;677;741;64;0,6637;0,5990;303;138;17;207;6;6;Partie Socialiste
11_11;795;853;58;0,6675;0,5764;384;188;27;186;6;4;Partie Socialiste
11_12;771;764;-7;0,6965;0,5797;344;179;12;223;11;2;Partie Socialiste
11_13;792;829;37;0,7174;0,6114;365;207;18;192;6;4;Partie Socialiste
11_14;799;793;-6;0,6598;0,5507;372;164;15;217;17;14;Partie Socialiste
11_15;633;648;15;0,5528;0,4847;349;144;9;119;7;5;Partie Socialiste
11_16;593;543;-50;0,5542;0,4407;324;141;12;104;12;0;Partie Socialiste
11_17;578;601;23;0,5579;0,4793;325;100;14;132;4;3;Partie Socialiste
11_18;619;667;48;0,6057;0,5349;297;139;15;157;5;6;Partie Socialiste
11_19;592;621;29;0,6278;0,5447;295;125;15;152;4;1;Partie Socialiste
11_20;720;737;17;0,6481;0,5516;373;152;17;168;9;1;Partie Socialiste
11_21;671;653;-18;0,6534;0,5442;327;148;13;169;9;5;Partie Socialiste
11_22;717;721;4;0,6351;0,5381;348;176;15;168;7;3;Partie Socialiste
11_23;726;776;50;0,6888;0,6025;356;162;17;175;10;6;Partie Socialiste
11_24;740;760;20;0,648;0,5499;331;194;13;187;11;4;Partie Socialiste
11_25;725;763;38;0,6277;0,5521;337;169;13;192;11;3;Partie Socialiste
11_26;723;724;1;0,6138;0,5205;380;151;19;155;9;9;Partie Socialiste
11_27;847;847;0;0,7029;0,6020;372;215;18;224;13;5;Partie Socialiste
11_28;758;811;53;0,7064;0,6376;323;178;20;227;6;4;Partie Socialiste
11_29;822;928;106;0,7359;0,6540;327;173;17;293;8;4;Partie Socialiste
11_30;820;881;61;0,7414;0,6609;335;196;18;257;12;2;Partie Socialiste
